City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
389,barmer,25.75,71.3833,58.73,27,0,6.29,IN,1669772637
390,ballina,-28.8667,153.5667,73.02,65,100,15.35,AU,1669772637
391,umm lajj,25.0213,37.2685,74.88,54,7,7.49,SA,1669772637
392,clarence town,-32.5833,151.7833,74.14,38,90,10.94,AU,1669772637
393,talnakh,69.4865,88.3972,-11.9,99,100,4.47,RU,1669772638
394,peniche,39.3558,-9.3811,51.46,93,40,4.99,PT,1669772638
395,nata,8.3333,-80.5167,73.27,95,100,2.89,PA,1669772638
396,westerland,54.9079,8.3033,41.02,87,100,11.5,DE,1669772638
397,mazagao,-0.115,-51.2894,75.25,94,100,1.97,BR,1669772639
398,tura,25.5198,90.2201,67.68,76,0,2.28,IN,1669772639
399,canguaretama,-6.38,-35.1289,75.92,80,85,5.17,BR,1669772639
400,tigre,-34.426,-58.5796,81.25,70,0,6.91,AR,1669772640
401,bulaevo,54.9056,70.4439,-3.64,87,36,8.59,KZ,1669772640
402,fountain,38.6822,-104.7008,19.81,80,20,4.61,US,1669772640
403,yaan,7.3833,8.5667,72.88,31,19,3.04,NG,1669772640
404,arona,28.0996,-16.681,62.13,67,20,10.36,ES,1669772641
405,moree,-29.4667,149.85,79.84,41,100,9.35,AU,1669772641
406,leningradskiy,69.3833,178.4167,24.13,81,100,7.18,RU,1669772641
407,tambura,5.6,27.4667,72.18,76,43,1.57,SS,1669772641
408,asfi,32.2994,-9.2372,57.16,72,6,12.95,MA,1669772642
409,sinnamary,5.3833,-52.95,76.26,89,72,6.98,GF,1669772642
410,khor,47.8861,134.9464,2.91,83,100,19.06,RU,1669772642
411,hvolsvollur,63.7533,-20.2243,41.86,86,100,9.51,IS,1669772643
412,smithers,54.7804,-127.1743,10.72,67,100,2.3,CA,1669772568
413,itarema,-2.9248,-39.9167,76.5,83,100,4.07,BR,1669772643
414,weihe,32.9952,105.3247,23.88,76,100,6.51,CN,1669772643
415,gilbues,-9.8317,-45.3439,67.86,98,100,3.18,BR,1669772643
416,zhenlai,45.8495,123.2973,5.09,51,0,18.12,CN,1669772644
417,hattiesburg,31.3271,-89.2903,77.32,92,75,12.66,US,1669772633
418,plettenberg bay,-34.0527,23.3716,65.44,74,4,5.06,ZA,1669772644
419,vardo,70.3705,31.1107,33.78,80,77,25.32,NO,1669772644
420,filingue,14.3521,3.3168,71.64,22,15,6.85,NE,1669772644
421,sao jose da coroa grande,-8.8978,-35.1478,76.37,84,100,8.99,BR,1669772645
422,shimoda,34.6667,138.95,70.16,73,100,19.48,JP,1669772645
423,longkou,37.6508,120.3286,28.42,58,99,25.23,CN,1669772645
424,melnikovo,56.5558,84.085,-13.76,97,69,3.58,RU,1669772646
425,hami,42.8,93.45,8.89,25,0,2.42,CN,1669772646
426,lufilufi,-13.8745,-171.5986,89.38,77,100,8.72,WS,1669772646
427,syracuse,37.0881,15.2792,47.57,80,73,4.94,IT,1669772646
428,iquique,-20.2208,-70.1431,68.04,77,31,0.6,CL,1669772561
429,ust-maya,60.4167,134.5333,-29.43,91,100,5.32,RU,1669772647
430,uong bi,21.0333,106.7833,82.38,75,11,7.27,VN,1669772647
431,misratah,32.3754,15.0925,61.99,65,100,17.72,LY,1669772647
432,raudeberg,61.9875,5.1352,44.87,65,100,10.85,NO,1669772648
433,east patchogue,40.767,-72.9962,40.37,72,75,0.0,US,1669772605
434,muhos,64.808,25.9931,29.98,93,100,5.19,FI,1669772648
435,codrington,-38.2667,141.9667,60.96,67,100,11.99,AU,1669772648
436,bull savanna,17.8868,-77.5902,74.19,82,1,6.04,JM,1669772648
437,san antonio,29.4241,-98.4936,72.43,80,0,0.0,US,1669772571
438,gizo,-8.103,156.8419,83.37,71,100,4.85,SB,1669772649
439,palompon,11.0508,124.3843,85.08,69,99,10.78,PH,1669772649
440,yenagoa,4.9247,6.2642,75.97,89,100,3.36,NG,1669772650
441,adre,13.4667,22.2,68.14,24,78,7.96,TD,1669772650
442,anchorage,61.2181,-149.9003,11.68,78,0,4.0,US,1669772447
443,la ciotat,43.1748,5.6045,50.81,67,0,3.02,FR,1669772650
444,balkhash,46.844,74.9804,7.41,61,40,17.9,KZ,1669772650
445,kamaishi,39.2667,141.8833,55.22,68,100,6.8,JP,1669772651
446,viedma,-40.8135,-62.9967,62.91,56,97,17.78,AR,1669772651
447,iki-burul,45.8208,44.6472,26.1,55,39,14.81,RU,1669772651
448,piterka,50.6803,47.4454,20.37,51,1,6.87,RU,1669772652
449,gorom-gorom,14.4439,-0.2361,72.75,16,10,8.16,BF,1669772652
450,lavrentiya,65.5833,-171.0,30.58,98,100,11.54,RU,1669772652
451,turukhansk,65.8167,87.9833,-8.1,99,100,4.7,RU,1669772653
452,santona,43.4439,-3.4576,50.7,82,100,4.83,ES,1669772653
453,gasa,31.5,34.4667,57.88,68,7,5.93,PS,1669772653
454,dingle,10.9995,122.6711,83.41,78,77,15.61,PH,1669772654
455,fairbanks,64.8378,-147.7164,-9.4,78,20,0.0,US,1669772416
456,dyersburg,36.0345,-89.3856,62.74,96,100,3.44,US,1669772654
457,tiarei,-17.5333,-149.3333,84.22,79,10,10.07,PF,1669772654
458,lerdo,25.5333,-103.5333,64.29,17,0,4.12,MX,1669772655
459,palapye,-22.546,27.1251,63.95,64,0,6.82,BW,1669772655
460,sitka,57.0531,-135.33,22.89,39,0,4.61,US,1669772656
461,dole,47.0833,5.5,44.51,100,100,4.61,FR,1669772656
462,londoko,49.0333,131.9833,-2.29,79,100,10.6,RU,1669772656
463,totness,5.8833,-56.3167,77.52,84,84,9.15,SR,1669772656
464,iquitos,-3.7481,-73.2472,78.84,89,0,2.3,PE,1669772657
465,bubaque,11.2833,-15.8333,80.64,63,75,8.3,GW,1669772657
466,simbahan,6.3032,120.5836,83.32,72,92,3.38,PH,1669772657
467,benguela,-12.5763,13.4055,75.58,84,97,2.89,AO,1669772657
468,terra santa,-2.1042,-56.4869,74.98,89,64,1.54,BR,1669772658
469,college,64.8569,-147.8028,-9.42,78,40,0.0,US,1669772360
